domain,category,description
w3schools.com,General,Interactive exercises for web technologies and languages
freecodecamp.org,General,Interactive coding curriculum and projects
leetcode.com,Algorithms,Algorithmic coding challenges
hackerrank.com,Algorithms,Algorithmic and domain-specific challenges
codewars.com,Algorithms,Community-created coding challenges
theodinproject.com,Full Stack,Project-based full stack curriculum
exercism.org,General,Language-specific coding exercises
codecademy.com,General,Interactive courses (some free exercises)
github.com,Projects,Code repositories and templates for projects
kaggle.com,Data Science,Data science competitions and notebooks
datacamp.com,Data Science,Interactive data science and ML exercises
sqlzoo.net,Database,Interactive SQL tutorials and exercises
leetcode.com/studyplan/sql,Database,SQL specific challenges on LeetCode
hackthebox.com,Security,Interactive cybersecurity labs and machines
tryhackme.com,Security,Guided cybersecurity rooms and exercises
overthewire.org,Security,Wargames for learning security concepts
picoctf.com,Security,Capture The Flag challenges
kodekloud.com,DevOps,Interactive DevOps and Cloud labs (some free)
killercoda.com,DevOps,Interactive Kubernetes and CKA/CKS simulators
katacoda.com,DevOps,Interactive browser-based environments (legacy but some still active)
labs.play-with-docker.com,DevOps,Interactive Docker playground
labs.play-with-k8s.com,DevOps,Interactive Kubernetes playground
frontendmentor.io,Frontend,Frontend coding challenges with real designs
cssbattle.dev,Frontend,CSS code-golfing challenges
flexboxfroggy.com,Frontend,Interactive game for learning CSS Flexbox
cssgridgarden.com,Frontend,Interactive game for learning CSS Grid
javascript30.com,JavaScript,30 day vanilla JS coding challenge
codingbat.com,General,Live coding problems to build coding logic
projecteuler.net,Algorithms,Mathematical and computational programming problems
spoj.com,Algorithms,Project Euler alternative
coderbyte.com,General,Live coding problems for Java and Python
edabit.com,General,Live coding problems for Java and Python
repl.it,General,Interactive browser-based coding environments and challenges
codesandbox.io,General,Interactive browser-based coding environments
stackblitz.com,General,Interactive browser-based coding environments (good for React/Vue)
jsfiddle.net,General,Interactive browser-based coding environments
glitch.com,General,Interactive browser-based coding environments
codepen.io,General,Interactive browser-based coding environments
leetcode.com/studyplan/pandas,Data Science,Pandas specific challenges on LeetCode
machinelearningmastery.com,Machine Learning,Machine learning tutorials and exercises
fast.ai,Machine Learning,Deep learning courses and exercises
coursera.org,General,Interactive courses (some free exercises)
udacity.com,General,Interactive courses (some free exercises)
pluralsight.com,General,Interactive courses (some free exercises)
educative.io,General,Interactive courses (some free exercises)
acloudguru.com,Cloud,Cloud computing labs and exercises (some free)
linuxacademy.com,Cloud,Linux and Cloud computing labs and exercises (some free)
qwiklabs.com,Cloud,Cloud computing labs and exercises (some free)
whizlabs.com,Cloud,Cloud computing labs and exercises (some free)
cloudacademy.com,Cloud,Cloud computing labs and exercises (some free)
